route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
IPBR-4959,QR 25_26-43357,37961089-QR 25_26-43357-1001,"Bowen Hills station",1,,IPBR0266
CAIP-4959,QR 25_26-43357,37961091-QR 25_26-43357-1518,"Ipswich station",0,,CAIP1460
IPCA-4959,QR 25_26-43357,37961092-QR 25_26-43357-1119,"Caboolture station",1,,IPCA0220
CAIP-4959,QR 25_26-43357,37961093-QR 25_26-43357-1534,"Ipswich station",0,,CAIP1459
IPCA-4959,QR 25_26-43357,37961094-QR 25_26-43357-1129,"Caboolture station",1,,IPCA0740
CASP-4959,QR 25_26-43357,37961095-QR 25_26-43357-1K68,"Springfield Central station",0,,CASP0048
BRBN-4959,QR 25_26-43357,37961096-QR 25_26-43357-1702,"Beenleigh station",0,,BRBN0323
BNBR-4959,QR 25_26-43357,37961097-QR 25_26-43357-1M07,"Bowen Hills station",1,,BNBR0729
BRBN-4959,QR 25_26-43357,37961098-QR 25_26-43357-1770,"Beenleigh station",0,,BRBN0323
BNBR-4959,QR 25_26-43357,37961099-QR 25_26-43357-1M95,"Bowen Hills station",1,,BNBR0730
BRBN-4959,QR 25_26-43357,37961100-QR 25_26-43357-1772,"Beenleigh station",0,,BRBN0323
BNBR-4959,QR 25_26-43357,37961101-QR 25_26-43357-1MA1,"Bowen Hills station",1,,BNBR0730
SHCL-4959,QR 25_26-43357,37961102-QR 25_26-43357-1816,"Cleveland station",0,,SHCL0965
CLSH-4959,QR 25_26-43357,37961103-QR 25_26-43357-1W19,"Northgate station",1,,CLSH1933
SHCL-4959,QR 25_26-43357,37961104-QR 25_26-43357-1824,"Cleveland station",0,,SHCL1258
CLSH-4959,QR 25_26-43357,37961105-QR 25_26-43357-1A39,"Sandgate station",1,,CLSH1939
SHCL-4959,QR 25_26-43357,37961106-QR 25_26-43357-1840,"Cleveland station",0,,SHCL1258
CLSH-4959,QR 25_26-43357,37961107-QR 25_26-43357-1A55,"Sandgate station",1,,CLSH1941
SHCL-4959,QR 25_26-43357,37961108-QR 25_26-43357-1866,"Cleveland station",0,,SHCL1257
CLSH-4959,QR 25_26-43357,37961109-QR 25_26-43357-1A85,"Sandgate station",1,,CLSH1941
SHCL-4959,QR 25_26-43357,37961110-QR 25_26-43357-1890,"Cleveland station",0,,SHCL1258
CLSH-4959,QR 25_26-43357,37961111-QR 25_26-43357-1AA1,"Sandgate station",1,,CLSH1939
SHBR-4959,QR 25_26-43357,37961112-QR 25_26-43357-1RD4,"Roma Street station",0,,SHBR0664
SHCL-4959,QR 25_26-43357,37961113-QR 25_26-43357-1856,"Cleveland station",0,,SHCL0991
CLSH-4959,QR 25_26-43357,37961114-QR 25_26-43357-1W51,"Northgate station",1,,CLSH1933
SHCL-4959,QR 25_26-43357,37961115-QR 25_26-43357-1872,"Cleveland station",0,,SHCL0965
CLSH-4959,QR 25_26-43357,37961116-QR 25_26-43357-1W59,"Northgate station",1,,CLSH1933
CLSH-4959,QR 25_26-43357,37961117-QR 25_26-43357-1A07,"Sandgate station",1,,CLSH1940
SHCL-4959,QR 25_26-43357,37961118-QR 25_26-43357-1818,"Cleveland station",0,,SHCL1257
CLSH-4959,QR 25_26-43357,37961119-QR 25_26-43357-1A35,"Sandgate station",1,,CLSH1939
SHCL-4959,QR 25_26-43357,37961120-QR 25_26-43357-1836,"Cleveland station",0,,SHCL1258
CLSH-4959,QR 25_26-43357,37961121-QR 25_26-43357-1A51,"Sandgate station",1,,CLSH1939
SHCL-4959,QR 25_26-43357,37961122-QR 25_26-43357-1858,"Cleveland station",0,,SHCL1258
CLSH-4959,QR 25_26-43357,37961123-QR 25_26-43357-1A79,"Sandgate station",1,,CLSH1941
SHCL-4959,QR 25_26-43357,37961124-QR 25_26-43357-1886,"Cleveland station",0,,SHCL1257
CLSH-4959,QR 25_26-43357,37961125-QR 25_26-43357-1A97,"Sandgate station",1,,CLSH1939
SHCL-4959,QR 25_26-43357,37961126-QR 25_26-43357-18A2,"Cleveland station",0,,SHCL1259
CLSH-4959,QR 25_26-43357,37961127-QR 25_26-43357-1A11,"Sandgate station",1,,CLSH1939
SHCL-4959,QR 25_26-43357,37961128-QR 25_26-43357-1822,"Cleveland station",0,,SHCL1257
CLSH-4959,QR 25_26-43357,37961129-QR 25_26-43357-1A37,"Sandgate station",1,,CLSH1939
SHCL-4959,QR 25_26-43357,37961130-QR 25_26-43357-1838,"Cleveland station",0,,SHCL1258
CLSH-4959,QR 25_26-43357,37961131-QR 25_26-43357-1A53,"Sandgate station",1,,CLSH1939
SHCL-4959,QR 25_26-43357,37961132-QR 25_26-43357-1862,"Cleveland station",0,,SHCL1257
CLSH-4959,QR 25_26-43357,37961133-QR 25_26-43357-1A83,"Sandgate station",1,,CLSH1941
SHCL-4959,QR 25_26-43357,37961134-QR 25_26-43357-1888,"Cleveland station",0,,SHCL1258
CLSH-4959,QR 25_26-43357,37961135-QR 25_26-43357-1A99,"Sandgate station",1,,CLSH1939
SHCL-4959,QR 25_26-43357,37961136-QR 25_26-43357-18A4,"Cleveland station",0,,SHCL1256
BRFG-4959,QR 25_26-43357,37961137-QR 25_26-43357-1E01,"Ferny Grove station",1,,BRFG0190
FGBR-4959,QR 25_26-43357,37961138-QR 25_26-43357-1R06,"Roma Street station",0,,FGBR0131
BRFG-4959,QR 25_26-43357,37961139-QR 25_26-43357-1E11,"Ferny Grove station",1,,BRFG0085
FGBR-4959,QR 25_26-43357,37961140-QR 25_26-43357-1R18,"Roma Street station",0,,FGBR0131
BRFG-4959,QR 25_26-43357,37961141-QR 25_26-43357-1E23,"Ferny Grove station",1,,BRFG0085
FGBR-4959,QR 25_26-43357,37961142-QR 25_26-43357-1R32,"Roma Street station",0,,FGBR0442
BRFG-4959,QR 25_26-43357,37961143-QR 25_26-43357-1E03,"Ferny Grove station",1,,BRFG0190
FGBR-4959,QR 25_26-43357,37961144-QR 25_26-43357-1R10,"Roma Street station",0,,FGBR0131
BRFG-4959,QR 25_26-43357,37961145-QR 25_26-43357-1E15,"Ferny Grove station",1,,BRFG0085
FGBR-4959,QR 25_26-43357,37961146-QR 25_26-43357-1R22,"Roma Street station",0,,FGBR0131
BRFG-4959,QR 25_26-43357,37961147-QR 25_26-43357-1E27,"Ferny Grove station",1,,BRFG0085
FGBR-4959,QR 25_26-43357,37961148-QR 25_26-43357-1R38,"Roma Street station",0,,FGBR0192
BRFG-4959,QR 25_26-43357,37961149-QR 25_26-43357-1E05,"Ferny Grove station",1,,BRFG0087
FGBR-4959,QR 25_26-43357,37961150-QR 25_26-43357-1R12,"Roma Street station",0,,FGBR0579
BRFG-4959,QR 25_26-43357,37961151-QR 25_26-43357-1E17,"Ferny Grove station",1,,BRFG0121
FGBR-4959,QR 25_26-43357,37961152-QR 25_26-43357-1R24,"Roma Street station",0,,FGBR0579
BRFG-4959,QR 25_26-43357,37961153-QR 25_26-43357-1E29,"Ferny Grove station",1,,BRFG0121
FGBR-4959,QR 25_26-43357,37961154-QR 25_26-43357-1R42,"Roma Street station",0,,FGBR0579
BRFG-4959,QR 25_26-43357,37961155-QR 25_26-43357-1E35,"Ferny Grove station",1,,BRFG0085
FGBR-4959,QR 25_26-43357,37961156-QR 25_26-43357-1R52,"Roma Street station",0,,FGBR0578
